city_name,lat,temp,humid,cloud,wind_speed
tashla,53.71,259.15,65,0,5
vidim,50.47,273.15,99,90,2.6
farafangana,-22.82,298.479,100,64,8.81
longyearbyen,78.22,260.15,55,20,5.1
porto novo,-23.68,299.254,63,0,2.76
ismailia,30.6,288.929,82,0,3.01
seoul,37.57,273.95,89,0,1.5
pojuca,-12.42,302.15,79,0,8.7
carlsbad,50.23,272.99,100,75,1.21
timra,62.49,264.97,85,75,2.1
jalu,29.03,293.954,26,0,3.81
ancud,-41.87,295.054,68,0,3.11
zhigansk,66.77,242.354,70,0,2.21
mount isa,-20.73,296.15,100,90,3.6
nanortalik,60.14,268.554,100,88,6.01
saint-philippe,45.36,275.45,64,1,5.7
angoche,-16.23,301.754,100,76,6.71
lukovetskiy,64.29,257.15,84,75,3
rizhao,35.43,275.054,75,88,4.26
petropavl,54.87,266.954,87,56,9.96
aradippou,34.95,289.15,100,20,1
kropotkin,45.43,274.204,83,24,6.56
inhambane,-23.87,299.329,90,92,4.56
laguna,27.52,297.15,31,75,3.1
aksarka,66.56,263.304,83,88,8.06
arlit,18.74,294.254,27,0,3.01
huainan,32.59,278.129,87,88,6.46
along,28.17,283.804,98,92,0.76
bereznik,62.86,258.729,73,0,4.21
leh,34.16,251.329,82,56,0.76
jiuquan,39.73,262.804,73,0,0.51
namatanai,-3.66,300.954,100,24,6.46
buala,-8.15,299.354,100,48,0.41
toora-khem,52.47,251.979,62,0,0.86
ramnagar,27.17,293.229,39,0,4.41
teykovo,56.86,252.604,55,48,1.31
sitka,37.17,283.829,32,0,13.76
qostanay,53.17,259.15,77,0,8
atuona,-9.8,300.704,99,68,6.86
lamu,0.57,295.429,100,20,1.21
faya,18.39,289.53,82,0,2.31
verkhnyaya inta,65.99,258.829,78,76,2.11
dong hoi,17.48,296.829,95,92,5.26
mosquera,4.71,290.15,55,75,2.6
lingyuan,41.24,264.479,49,24,4.46
diffa,13.32,298.004,26,0,3.21
luang prabang,19.89,288.929,82,0,0.66
swan hill,-35.34,288.954,72,0,4.91
vung tau,10.35,299.15,88,40,4.6
sinop,42.03,284.054,84,8,2.81
manokwari,-0.87,301.204,100,24,6.31
bose,45.46,273.09,93,75,1.5
batsfjord,70.63,265.07,92,90,2.6
port pirie,-33.18,291.15,88,0,3.6
changping,40.22,270.15,53,0,1
sola,62.78,256.15,59,0,2.1
mandera,3.94,299.804,59,12,3.91
kalabo,-15,294.804,58,8,3.31
bacolod,10.68,297.479,89,80,3.41
